Montparnasse AlÃ©sia,FR,Paris,3,48.8300160595,2.3203924298,,,,,
Le Golfe Piscine & Spa Casanera,FR,Porto Pollo,4,41.7109531249,8.7990000844,,,,,
Hotel Barberini,IT,Rome,4,41.9026962685,12.4892342091,,,,,
AC Hotel Zamora by Marriott,ES,Zamora,4,41.5118331395,-5.7370817119,,,,,
Europe Hotel & Spa,CH,Zermatt,4,46.0178957979,7.7494677901,,,,,
Hotel St Moritz Queenstown - MGallery Collection,NZ,Queenstown,5,-45.0340722146,168.65332514,,,,,partner_hotel_name
Laguna Beach House,US,Laguna Beach,3,33.544818401,-117.791417688,,,,,partner_country_code
ibis Hotel Berlin Spandau,DE,Berlin,2,52.5330997023,13.1981916726,,,,,partner_city_name
Doubletree by Hilton Los Angeles Downtown,US,Los Angeles,4,34.0504493425,-118.242958188,,,,,partner_star_rating
Hilton Arlington,US,Arlington,4,32.7622529161,-97.0673632622,,,,,partner_latitude
Hotel Hohenstaufen,DE,Koblenz,3,50.35153474,7.5905697048,,,,,partner_longitude
L'Hostellerie du Marais,FR,Paris,3,48.8570140562,2.3645214737,,,,,
Country Inn & Suites Newark Airport,US,Elizabeth,2,40.6624347206,-74.1768980026,,,,,
DoubleTree Suites By Hilton Anaheim Resort/Convention Center,US,Anaheim,3,33.7967378535,-117.91580379,,,,,
Deborah Hotel By Arcadia Hotels Chain,IL,Tel Aviv,3,32.0825518336,34.7710043192,,,,,
Rinaldi Poetic,RU,Saint Petersburg,3,59.93609155,30.36006232,,,,,
Premiere Classe Lyon Est - Bron Eurexpo,FR,DÃ©cines-Charpieu,1,45.7477117631,4.9355877936,,,,,
Bryan's Spanish Cove By Diamond Resorts,US,Orlando,3,28.3636432131,-81.5009788424,,,,,
Gallery Residence Hotel Nisantasi,TR,Istanbul,0,41.0506609071,28.9891809225,,,,,
DoubleTree by Hilton Hotel Tampa Airport-Westshore,US,Tampa,3,27.9517409449,-82.5209699571,,,,,
Feehof,CH,Saas-Fee,3,46.1054010784,7.9246133566,,,,,
Najeti HÃ´tel la Magnaneraie,FR,Villeneuve-lÃ¨s-Avignon,0,43.9663044182,4.7881878912,,,,,
Husa Pedralbes,ES,Barcelona,3,41.3948798533,2.1245241165,,,,,
Leicester Marriott Hotel,GB,Leicester,4,52.5992159685,-1.1894202232,,,,,
Best Western Boltons Hotel,GB,London,4,51.49085306,-0.1934355497,,,,,
relexa hotel Bellevue an der Alster,DE,Hamburg,3,53.5605369953,10.0127533078,,,,,
BelleVue Apartamentos Aquarius,ES,Puerto del Carmen,3,28.9223825403,-13.6725389957,,,,,
Kyriad Hotel Tours Centre,FR,Tours,3,47.3835122118,0.6913258135,,,,,
Knights Inn and Suites,US,Yuma,2,32.6777048082,-114.625228196,,,,,
Hilton Garden Inn BWI Airport,US,Linthicum,3,39.2097573478,-76.6774490476,,,,,
Alp PaÅŸa Hotel,TR,Antalya,0,36.8837827501,30.7068809867,,,,,
Best Western Antares Hotel Concorde,IT,Milan,4,45.5024255576,9.221791327,,,,,
Red Roof Inn Buffalo Airport,US,Williamsville,2,42.9485698733,-78.6942744255,,,,,
Funsport- Bike- & Skihotelanlage Tauernhof,AT,Flachau,4,47.3488986735,13.3924520016,,,,,
Quality Suites Whitby,CA,Whitby,3,43.8719842147,-78.8965344429,,,,,
Ramada East Orange,US,East Orange,3,40.76200178,-74.2218893766,,,,,
Starlight Suiten Hotel Budapest,HU,Budapest,4,47.4995394156,19.0488526225,,,,,
Altburg,RU,Saint Petersburg,3,59.94071708,30.34782574,,,,,
Allegro Chicago a Kimpton Hotel,US,Chicago,4,41.8843335212,-87.6336506009,,,,,
InterContinental Le VendÃ´me Beirut,LB,Beirut,5,33.9020692594,35.4916870594,,,,,
Hilton Strasbourg,FR,Strasbourg,4,48.5965567735,7.7552855015,,,,,
Le Villiers,FR,Paris,2,48.8853180655,2.2933807967,,,,,
Novotel Toronto North York,CA,Toronto,3,43.7688450948,-79.4143389165,,,,,
Hilton Garden Inn Nashville Airport,US,Nashville,3,36.1506453147,-86.6773116589,,,,,
ANA InterContinental Tokyo,JP,Tokyo,5,35.668183507,139.740917087,,,,,
HÃ´tel du Soleil Le Terminus,FR,Carcassonne,4,43.2165415954,2.3520773649,,,,,
La Camogliese,IT,Camogli,2,44.3484043084,9.1550767422,,,,,
Hilton Omaha,US,Omaha,4,41.2635093235,-95.930160284,,,,,
HÃ´tel Axotel Lyon Perrache,FR,Lyon,3,45.7446842117,4.8258090019,,,,,
Europeum Hotel,PL,WrocÅ‚aw,3,51.1081330516,17.027939558,,,,,
Au Vieux Moulin,FR,MegÃ¨ve,3,45.8569015497,6.6156229377,,,,,
NH San Sebastian de los Reyes,ES,San SebastiÃ¡n de los Reyes,3,40.558547592,-3.6138474941,,,,,
Oaks Shores,NZ,Queenstown,4.5,-45.0299304409,168.686345816,,,,,
EA Hotel Downtown,CZ,Prague,4,50.0772010909,14.4302898645,,,,,
Alyss Saphir Cambronne Eiffel,FR,Paris,3,48.8450975973,2.2973810881,,,,,
Safeer Plaza Hotel Apartments,OM,Muscat,3,23.5862867496,58.425205797,,,,,
